Programas,Empreendimentos,Latitude,Longitude,Nr_Contrato,Status,Tipo_Contrato_Dash
SEM PROGRAMA ESPECÍFICO,Requalificação e Reurbanização do Vale do Anhangabaú e Entorno,"-23,545290","-46,636667",NE Nº 110.158/2020,Concluído,Projetos - Serviços
SEM PROGRAMA ESPECÍFICO,Requalificação e Reurbanização do Vale do Anhangabaú e Entorno,"-23,545290","-46,636667",NE Nº 110.184/2020,Concluído,Projetos - Serviços
SEM PROGRAMA ESPECÍFICO,Requalificação e Reurbanização do Vale do Anhangabaú e Entorno,"-23,545290","-46,636667",NE Nº 110.214/2020,Concluído,Projetos - Serviços
SEM PROGRAMA ESPECÍFICO,Requalificação e Reurbanização do Vale do Anhangabaú e Entorno,"-23,545290","-46,636667",NE Nº 43.757/2020,Concluído,Projetos - Serviços
SEM PROGRAMA ESPECÍFICO,Requalificação e Reurbanização do Vale do Anhangabaú e Entorno,"-23,545290","-46,636667",NE Nº 43.772/2020,Concluído,Projetos - Serviços
SEM PROGRAMA ESPECÍFICO,Requalificação e Reurbanização do Vale do Anhangabaú e Entorno,"-23,545290","-46,636667",NE Nº 52.294/2021,Concluído,Projetos - Serviços
SEM PROGRAMA ESPECÍFICO,Sampaio Moreira,"-23,546624","-46,636354",003/SMC-G/2012,Concluído,Obras
SEM PROGRAMA ESPECÍFICO,Sampaio Moreira,"-23,546624","-46,636354",037/SMC-G/2019,Concluído,Obras
SEM PROGRAMA ESPECÍFICO,Sede da SMDET,"-23,545500","-46,636090",003/SPOBRAS/2023,Concluído,Obras
SEM PROGRAMA ESPECÍFICO,Sede da SMDET,"-23,545500","-46,636090",022/SPOBRAS/2022,Concluído,Projetos - Serviços
SEM PROGRAMA ESPECÍFICO,"Sede SPObras (Reformas, Manutenções, outros)","-23,547531","-46,634217",257/SPOBRAS/2023,Concluído,Projetos - Serviços
VIÁRIO DE MOBILIDADE URBANA,Gerenciamento do Programa de Mobilidade e de Requalificação,"-23,547530","-46,634217",009/SPOBRAS/2025,Andamento,Projetos - Serviços
VIÁRIO DE MOBILIDADE URBANA,Gerenciamento do Programa de Mobilidade e de Requalificação,"-23,547530","-46,634217",010/SPOBRAS/2025,Andamento,Projetos - Serviços
VIÁRIO DE MOBILIDADE URBANA,Gerenciamento do Programa de Mobilidade e de Requalificação,"-23,547530","-46,634217",012/SPOBRAS/2025,Andamento,Projetos - Serviços
VIÁRIO DE MOBILIDADE URBANA,Gerenciamento do Programa de Mobilidade e de Requalificação,"-23,547530","-46,634217",030/SPOBRAS/2025,Andamento,Projetos - Serviços
VIÁRIO DE MOBILIDADE URBANA,Gerenciamento do Programa de Mobilidade e de Requalificação,"-23,547530","-46,634217",031/SPOBRAS/2025,Andamento,Projetos - Serviços
